Disease	gene
Genetic epilepsy syndromes	NEXMIF
Genetic epilepsy syndromes	PCDH19
Genetic epilepsy syndromes	PIGA
Genetic epilepsy syndromes	PIGN
Genetic epilepsy syndromes	PIGT
Genetic epilepsy syndromes	PLCB1
Genetic epilepsy syndromes	PLPBP
Genetic epilepsy syndromes	PNKP
Genetic epilepsy syndromes	PNPO
Genetic epilepsy syndromes	POLG
Genetic epilepsy syndromes	PRODH
Genetic epilepsy syndromes	PRRT2
Genetic epilepsy syndromes	PURA
Genetic epilepsy syndromes	QARS
Genetic epilepsy syndromes	RANBP2
Genetic epilepsy syndromes	SCARB2
Genetic epilepsy syndromes	SCN1A
Genetic epilepsy syndromes	SCN1B
Genetic epilepsy syndromes	SCN2A
Genetic epilepsy syndromes	SCN8A
Genetic epilepsy syndromes	SCN9A
Genetic epilepsy syndromes	SETD5
Genetic epilepsy syndromes	SIK1
Genetic epilepsy syndromes	SLC12A5
Genetic epilepsy syndromes	SLC13A5
Genetic epilepsy syndromes	SLC16A2
Genetic epilepsy syndromes	SLC1A2
Genetic epilepsy syndromes	SLC25A1
Genetic epilepsy syndromes	SLC25A22
Genetic epilepsy syndromes	SLC2A1
Genetic epilepsy syndromes	SLC35A2
Genetic epilepsy syndromes	SLC6A1
Genetic epilepsy syndromes	SLC6A19
Genetic epilepsy syndromes	SLC9A6
Genetic epilepsy syndromes	SPTAN1
Genetic epilepsy syndromes	STRADA
Genetic epilepsy syndromes	STX1B
Genetic epilepsy syndromes	STXBP1
Genetic epilepsy syndromes	SUOX
Genetic epilepsy syndromes	SYNGAP1
Genetic epilepsy syndromes	SYNJ1
Genetic epilepsy syndromes	SZT2
Genetic epilepsy syndromes	TBC1D24
Genetic epilepsy syndromes	TCF4
Genetic epilepsy syndromes	TPP1
Genetic epilepsy syndromes	TRAK1
Genetic epilepsy syndromes	TRPM6
Genetic epilepsy syndromes	UBE2A
Genetic epilepsy syndromes	UBE3A
Genetic epilepsy syndromes	WDR45
Genetic epilepsy syndromes	WDR45B
Genetic epilepsy syndromes	WWOX
Genetic epilepsy syndromes	ZEB2
Genetic epilepsy syndromes	ABAT
Genetic epilepsy syndromes	ACOX1
Genetic epilepsy syndromes	ADAR
Genetic epilepsy syndromes	ADGRG1
Genetic epilepsy syndromes	ADPRHL2
Genetic epilepsy syndromes	AIMP1
Genetic epilepsy syndromes	AKT1
Genetic epilepsy syndromes	AKT3
Genetic epilepsy syndromes	ALDH5A1
Genetic epilepsy syndromes	ALG1
Genetic epilepsy syndromes	ALG3
Genetic epilepsy syndromes	ALG6
Genetic epilepsy syndromes	ALG8
Genetic epilepsy syndromes	ALG9
Genetic epilepsy syndromes	ALPL
Genetic epilepsy syndromes	AMPD2
Genetic epilepsy syndromes	AMT
Genetic epilepsy syndromes	AP3B2
Genetic epilepsy syndromes	ARFGEF2
Genetic epilepsy syndromes	ARG1
Genetic epilepsy syndromes	ARID1B
Genetic epilepsy syndromes	ARV1
Genetic epilepsy syndromes	ASPA
Genetic epilepsy syndromes	ATP1A1
Genetic epilepsy syndromes	ATP6V1A
Genetic epilepsy syndromes	ATP7A
Genetic epilepsy syndromes	BCKDHA
Genetic epilepsy syndromes	BCKDHB
Genetic epilepsy syndromes	BCS1L
Genetic epilepsy syndromes	BOLA3
Genetic epilepsy syndromes	BRAF
Genetic epilepsy syndromes	BTD
Genetic epilepsy syndromes	C12orf57
Genetic epilepsy syndromes	CACNA1A
Genetic epilepsy syndromes	CACNA1E
Genetic epilepsy syndromes	CACNA1G
Genetic epilepsy syndromes	CAD
Genetic epilepsy syndromes	CASK
Genetic epilepsy syndromes	CC2D2A
Genetic epilepsy syndromes	CLCN4
Genetic epilepsy syndromes	CLN3
Genetic epilepsy syndromes	CNNM2
Genetic epilepsy syndromes	COG7
Genetic epilepsy syndromes	COL18A1
Genetic epilepsy syndromes	COL4A1
Genetic epilepsy syndromes	COL4A2
Genetic epilepsy syndromes	COQ2
Genetic epilepsy syndromes	COQ4
Genetic epilepsy syndromes	COQ9
Genetic epilepsy syndromes	CREBBP
Genetic epilepsy syndromes	CSTB
Genetic epilepsy syndromes	CTNNA2
Genetic epilepsy syndromes	CTSD
Genetic epilepsy syndromes	D2HGDH
Genetic epilepsy syndromes	DCX
Genetic epilepsy syndromes	DDX3X
Genetic epilepsy syndromes	DEAF1
Genetic epilepsy syndromes	DENND5A
Genetic epilepsy syndromes	DHCR7
Genetic epilepsy syndromes	DHDDS
Genetic epilepsy syndromes	DHX30
Genetic epilepsy syndromes	DNM1L
Genetic epilepsy syndromes	DPAGT1
Genetic epilepsy syndromes	DPM1
Genetic epilepsy syndromes	DYNC1H1
Genetic epilepsy syndromes	EARS2
Genetic epilepsy syndromes	EEF1A2
Genetic epilepsy syndromes	EFTUD2
Genetic epilepsy syndromes	EIF2B2
Genetic epilepsy syndromes	EIF2B4
Genetic epilepsy syndromes	EIF2B5
Genetic epilepsy syndromes	EIF2S3
Genetic epilepsy syndromes	EIF3F
Genetic epilepsy syndromes	EMX2
Genetic epilepsy syndromes	ETHE1
Genetic epilepsy syndromes	EXOSC3
Genetic epilepsy syndromes	FAR1
Genetic epilepsy syndromes	FARS2
Genetic epilepsy syndromes	FBXL4
Genetic epilepsy syndromes	FBXO11
Genetic epilepsy syndromes	FGF12
Genetic epilepsy syndromes	FGFR3
Genetic epilepsy syndromes	FH
Genetic epilepsy syndromes	FKTN
Genetic epilepsy syndromes	FLNA
Genetic epilepsy syndromes	FOLR1
Genetic epilepsy syndromes	FRRS1L
Genetic epilepsy syndromes	FUCA1
Genetic epilepsy syndromes	FUT8
Genetic epilepsy syndromes	GABRB2
Genetic epilepsy syndromes	GALC
Genetic epilepsy syndromes	GAMT
Genetic epilepsy syndromes	GBA
Genetic epilepsy syndromes	GCH1
Genetic epilepsy syndromes	GFAP
Genetic epilepsy syndromes	GFM1
Genetic epilepsy syndromes	GLB1
Genetic epilepsy syndromes	GLDC
Genetic epilepsy syndromes	GLUD1
Genetic epilepsy syndromes	GLUL
Genetic epilepsy syndromes	GM2A
Genetic epilepsy syndromes	GNAQ
Genetic epilepsy syndromes	GNB1
Genetic epilepsy syndromes	GNB5
Genetic epilepsy syndromes	GOSR2
Genetic epilepsy syndromes	GPHN
Genetic epilepsy syndromes	GRIA4
Genetic epilepsy syndromes	GRIN2D
Genetic epilepsy syndromes	GTPBP2
Genetic epilepsy syndromes	HACE1
Genetic epilepsy syndromes	HAX1
Genetic epilepsy syndromes	HCFC1
Genetic epilepsy syndromes	HCN2
Genetic epilepsy syndromes	HEPACAM
Genetic epilepsy syndromes	HEXA
Genetic epilepsy syndromes	HLCS
Genetic epilepsy syndromes	HRAS
Genetic epilepsy syndromes	HSD17B4
Genetic epilepsy syndromes	IFIH1
Genetic epilepsy syndromes	IKBKG
Genetic epilepsy syndromes	IRF2BPL
Genetic epilepsy syndromes	KARS
Genetic epilepsy syndromes	KCNA1
Genetic epilepsy syndromes	KCNJ11
Genetic epilepsy syndromes	KCNK4
Genetic epilepsy syndromes	KCNQ5
Genetic epilepsy syndromes	KCTD3
Genetic epilepsy syndromes	KIF1A
Genetic epilepsy syndromes	KIF2A
Genetic epilepsy syndromes	KIF5C
Genetic epilepsy syndromes	KRAS
Genetic epilepsy syndromes	LIAS
Genetic epilepsy syndromes	LYST
